Bandas,C,gamma,kernel,Precision,Recall,overlapping mean,average precision
111,10,,linear,"0,91","0,91","0,10","0,18"
135,10,,linear,"0,93","0,94","0,28","0,57"
153,1000,"0,01",rbf,"0,94","0,94","0,27","0,61"
315,100,"0,01",rbf,"0,93","0,94","0,31","0,61"
333,1000,1,rbf,"0,92","0,92","0,10","0,28"
351,10,"0,1",rbf,"0,90","0,91","0,25","0,66"
513,1,1,rbf,"0,89","0,86","0,29","0,46"
531,1000,1,rbf,"0,90","0,88","0,21","0,38"
555,100,"0,01",rbf,"0,89","0,85","0,26","0,63"
777,1000,1,rbf,"0,92","0,92","0,30","0,75"
999,10,1,rbf,"0,82","0,75","0,10","0,34"
1179,1000,1,rbf,"0,91","0,86","0,24","0,59"
1197,10,-,linear,"0,91","0,89","0,26","0,74"
7119,1,1,rbf,"0,91","0,87","0,27","0,6"
7911,10,-,linear,"0,90","0,89","0,28","0,73"
9117,1,1,rbf,"0,89","0,86","0,23","0,66"
9711,1,1,rbf,"0,89","0,86","0,30","0,79"
111111,1,1,rbf,"0,91","0,88","0,27","0,74"
111315,10,"0,1",rbf,"0,89","0,83","0,30","0,59"
111513,1,1,rbf,"0,89","0,84","0,28","0,63"
131115,10,-,linear,"0,89","0,87","0,26","0,61"
131313,1,-,linear,"0,91","0,90","0,35","0,32"
131511,1,-,linear,"0,89","0,82","0,26","0,39"
151113,10,1,rbf,"0,89","0,86","0,25","0,51"
151311,1000,1,rbf,"0,90","0,86","0,27","0,54"
151515,10,1,rbf,"0,88","0,85","0,28","0,26"
111213,1000,1,rbf,"0,87","0,91","0,32","0,62"
543,1000,1,rbf,"0,88","0,87","0,27","0,57"
1075,1000,1,rbf,"0,91","0,96","0,35","0,58"
